,Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,target
648,5679,2016,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,410,4,1960,0,   .,75115,0
649,9927,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,520,4,1953,0.6,3,6159,0
650,13786,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3000,2,1980,0,   .,13209,1
651,19504,2014,"0,536986301",0,V,N,V,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,330,2,1943,0.6,3,83120,0
652,16773,2015,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1950,V,   .,,0
653,4426,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,360,3,,0,   .,64483,0
654,3884,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1411,2,1980,0,   .,14118,1
655,1137,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,710,2,,0,   .,13205,0
656,11552,2015,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1450,2,2000,0,6,62108,0
657,4206,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,520,2,1988,0,   .,69091,0
658,10812,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,806,3,1870,0,5,33063,0
659,1621,2012,1,1,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,300,4,1920,0.6,3,6012,0
660,1103,2013,"0,871232877",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,2,,0,   .,51573,0
661,18684,2014,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3962,2,1960,0.3,9,38185,1
662,7672,2014,"0,747945205",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3084,4,1960,0,   .,75116,1
663,17836,2014,"0,915068493",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,288,2,1989,0,2,66008,0
664,14439,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2157,2,1988,0,   .,64024,1
665,17795,2016,"0,797814208",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1692,2,2011,0,2,83107,0
666,7459,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,3264,2,2004,0.6,2,31182,0
667,11479,2014,"0,41369863",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,795,2,1960,0,   .,42218,0
668,9926,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,360,3,1993,0.6,3,93033,0
669,14910,2015,1,1,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,4142,2,1975,0.3,4,66124,1
670,13127,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1249,2,1988,0,   .,66021,0
671,707,2016,"0,994535519",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,800,4,1960,0,   .,6027,0
672,19394,2014,"0,920547945",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,340,1,2014,0,2,13007,0
673,5005,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1508,2,1980,0,   .,29232,1
674,19223,2013,"0,550684932",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,580,1,1950,0,5,73171,0
675,10192,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,120,3,,0,   .,94004,0
676,7779,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1710,1,1988,0,   .,63308,0
677,14606,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2280,3,1960,0,   .,92004,1
678,6284,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,387,2,1980,0,   .,95563,0
679,4723,2013,"0,747945205",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,930,1,1988,0,   .,86194,0
680,15996,2013,"0,246575342",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,385,1,2008,0,3,22054,0
681,18489,2012,"0,584699454",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,11000,2,1971,0.3,2,77215,1
682,11910,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2242,4,,0,   .,75115,1
683,10790,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,180,2,1960,0,   .,34301,0
684,8048,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400,2,1980,0,   .,38421,1
685,583,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,310,2,,0,   .,13206,0
686,17518,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,1,1310,2,1910,0,3,62826,0
687,17454,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2650,2,2008,0,3,77445,1
688,8740,2016,"0,991803279",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,4,1960,0,   .,6159,0
689,18475,2015,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,1,600,2,1982,0.3,4,42218,0
690,15343,2015,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,1100,4,1900,0,5,75119,0
691,3973,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2500,1,,0,   .,73317,1
692,18680,2012,"0,489071038",1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,400,1,1960,0.3,2,33143,0
693,7940,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,1,1960,0,   .,42123,0
694,15829,2013,1,0,V,N,3,O,1,O,N,O,N,O,AUTRE,IDENTIQUE,V,base,1,585,1,1954,0.6,2,13056,0
695,16684,2014,1,1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,eff,2,630,2,1950,0,3,67482,0
696,15974,2014,"0,375342466",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,450,2,1900,0.3,3,83086,0
697,17888,2012,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,2770,3,1969,0,7,94067,1
698,11323,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,2213,4,1900,0,8,75109,1
699,3575,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,2,1980,0,   .,51454,0
700,15077,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,776,2,1960,0,   .,34172,0
701,685,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,1,1980,0,   .,36046,0
702,18074,2016,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,922,4,1885,0,4,6088,0
703,7862,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1560,1,1960,0,   .,42186,0
704,8308,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,924,4,1960,0,   .,6088,0
705,13557,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1900,4,1960,0,   .,75108,1
706,19333,2016,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,850,1,1950,0,4,54329,0
707,12757,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1152,3,1988,0,   .,93051,0
708,15314,2013,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1040,2,1960,0.3,5,13205,0
709,19611,2014,"0,252054795",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3674,1,1972,0,5,63113,0
710,9438,2012,"0,084699454",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100,4,,0,   .,6088,0
711,1679,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,2,,0,   .,69383,0
712,11825,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,855,4,,0,   .,75118,1
713,16258,2012,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,2,2513,4,1897,0,6,75115,1
714,12772,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1200,3,1999,0,4,92022,0
715,4168,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,120,4,1960,0,   .,75119,0
716,16620,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,700,3,1900,0,6,92040,0
717,9983,2013,"0,915068493",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2400,4,1982,0.3,2,6123,0
718,19177,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3369,2,2012,0,6,83126,1
719,974,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420,1,1960,0,   .,72132,0
720,4221,2015,"0,246575342",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,eff,2,480,2,1900,0,3,42218,0
721,17916,2012,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,7800,2,1970,0,>=10,95018,1
722,15525,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,2,800,1,1930,0,4,86194,0
723,2824,2015,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,2,,0,   .,13201,0
724,11826,2014,"0,997260274",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5270,3,1960,0,   .,59350,1
725,12455,2013,"0,246575342",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1703,2,1988,0,   .,44109,0
726,9873,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400,2,1980,0,   .,63113,1
727,3830,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,100,1,1960,0,   .,5061,0
728,17183,2013,"0,246575342",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,380,2,1930,0.3,4,83126,0
729,17940,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,900,4,1900,0,7,6029,1
730,18073,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,922,4,1885,0,4,6088,0
731,3336,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2500,2,1988,0,   .,68224,1
732,10945,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,3,1960,0,   .,94078,0
733,6528,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,700,3,1930,0,3,33063,0
734,10967,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1411,4,1940,0,6,6104,1
735,7170,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3250,1,1988,0,   .,13001,1
736,15700,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1181,1,1990,0,5,86194,0
737,15065,2012,1,1,V,N,1,O,1,O,N,O,N,O,AUTRE,IDENTIQUE,V,base,2,3626,4,1910,0,7,75116,1
738,2864,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2010,2,1960,0,3,63113,0
739,10140,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,460,2,1960,0,   .,13204,0
740,11664,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1783,1,1960,0,   .,54318,0
741,15641,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,568,1,1972,0,4,73011,0
742,18114,2013,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1480,3,1920,0,4,92012,0
743,6815,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,950,4,1920,0,6,75111,1
744,1538,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6022,2,1980,0,   .,34902,1
745,29,2016,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,1,450,4,1960,0,4,6104,0
746,604,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,3,,0,   .,93006,0
747,3223,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2730,2,1980,0,   .,62826,1
748,11738,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,4,1980,0,   .,75120,0
749,10725,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,360,2,1948,0.6,4,64102,0
750,12655,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,3,,0,   .,93047,0
751,13310,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2640,3,1960,0.3,4,67482,1
752,14563,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2160,4,1971,0,4,6083,1
753,6031,2013,"0,654794521",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,610,3,1980,0,   .,83137,0
754,13897,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,638,1,2008,0.3,2,86194,0
755,5430,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,1,1980,0,   .,19031,0
756,2287,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,5601,4,1989,0,8,6012,1
757,10083,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,670,2,1920,0,3,13208,0
758,10912,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2300,1,1988,0,   .,54431,1
759,9224,2013,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,350,4,1930,0.3,4,6029,1
760,16029,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,200,2,1960,0.3,2,83144,0
761,18121,2013,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,5372,4,2004,0,6,75114,1
762,3268,2013,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,2160,2,1980,0,3,67204,0
763,15704,2014,1,0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1650,1,1994,0,5,86041,0
764,7496,2015,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1336,2,1960,0,   .,83047,0
765,13733,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4900,2,1960,0,   .,26058,1
766,5034,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,1960,0,   .,13210,0
767,8804,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,2,,0,   .,51454,0
768,11533,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,938,2,1988,0,   .,57227,0
769,4439,2013,"0,084931507",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,772,2,1960,0,   .,13209,0
770,15439,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2000,2,1988,0.6,7,62826,0
771,4931,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,720,2,1850,0,4,13001,0
772,6521,2015,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2060,4,2002,0,9,75112,1
773,16944,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,900,2,1986,0.3,4,66150,0
774,14400,2012,1,1,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,effpi,2,2707,1,2002,0,4,13041,0
775,15569,2013,"0,693150685",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,650,1,2009,0,3,17028,0
776,17029,2013,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,18950,2,2010,0,6,31069,1
777,2077,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,530,2,1960,0,   .,38229,0
778,9022,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650,2,,0,   .,77186,0
779,2281,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,O,base,2,465,2,1980,0,   .,62917,0
780,3467,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,1,,0,   .,84129,0
781,15154,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3507,1,1996,0,4,16102,0
782,1656,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5900,2,1988,0,   .,34324,1
783,5967,2013,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,pi,2,1100,3,1930,0,5,54395,0
784,16929,2013,0,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,300,4,1930,0,2,75118,0
785,4797,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,2535,4,1970,0,8,75116,1
786,15007,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,950,3,1960,0,   .,94046,0
787,16073,2013,"0,208219178",1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,5533,2,1960,0,5,95197,1
788,15031,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,230,2,1960,0,   .,30133,0
789,12687,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3040,1,1980,0,   .,74082,1
790,12407,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100,1,1960,0,   .,35288,0
791,16205,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,380,4,1900,0,4,75119,1
792,10612,2016,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1600,4,1956,0.6,4,6029,1
793,18261,2016,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,630,3,1900,1,6,83137,0
794,6619,2014,"0,849315068",1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,3,1900,V,   .,,1
795,15049,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,11014,2,1975,0,3,68278,1
796,14843,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,3,,0,   .,93057,0
797,4717,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,2,1980,0,   .,83098,0
798,15960,2013,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4930,2,1994,0,5,63113,1
799,15680,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,250,2,1950,0.3,3,77243,0
800,14362,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1300,4,1998,0,3,6159,1
801,11192,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100,3,1960,0,   .,92004,0
802,14715,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,600,3,1960,0.6,6,94052,0
803,7995,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1550,2,,0,   .,59009,1
804,10439,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1550,2,1960,0,   .,70285,1
805,5469,2015,0,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,100,2,1970,0,2,78440,0
806,19486,2014,"0,597260274",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,900,1,1700,0.6,4,73150,0
807,10250,2014,"0,98630137",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3556,1,1988,0,   .,42147,1
808,13570,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1450,3,1988,0,   .,59599,0
809,5002,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,498,2,1980,0,   .,29046,0
810,16847,2014,"0,084931507",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,240,2,1847,0.3,3,51454,0
811,6226,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4400,2,2002,0,4,64129,1
812,6664,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1680,1,1980,0,   .,5177,0
813,5548,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1606,3,1960,0,   .,92004,1
814,11259,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4130,2,1988,0,   .,76351,1
815,15737,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,3,1900,V,   .,,1
816,9654,2013,"0,476712329",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2800,2,1980,0,   .,83123,1
817,10415,2014,1,0,V,N,V,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,760,2,2000,0.6,5,67264,0
818,18051,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,900,2,1982,0.3,4,24037,0
819,10691,2016,"0,967213115",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,550,1,1920,0.3,2,13050,0
820,19214,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,328,4,1900,0.6,4,75101,0
821,17403,2015,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1970,V,   .,,0
822,1445,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,330,2,1960,0,   .,21231,0
823,6880,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,530,2,1980,0,   .,38185,0
824,14067,2014,0,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5154,2,1960,0,   .,77284,1
825,9724,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,2,1960,0,   .,13206,0
826,16361,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,950,1,1960,0.3,4,35236,0
827,14713,2014,"0,747945205",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6193,3,1980,0,   .,92048,1
828,17389,2016,"0,99726776",0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,7000,3,1980,0.3,8,59512,1
829,19382,2014,"0,961643836",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,400,2,1820,0.6,3,77284,0
830,6517,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,831,3,1960,0,   .,54395,0
831,8119,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800,3,,0,   .,59350,1
832,14311,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250,3,1960,0,   .,92026,1
833,18768,2015,"0,745205479",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,1950,3,1884,0,6,94067,0
834,7890,2016,"0,99726776",0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,5165,2,1976,0,4,62193,1
835,332,2012,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3228,2,,0,   .,63113,0
836,17020,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1002,2,1945,0.6,4,77288,0
837,7956,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000,3,,0,   .,83137,0
838,4570,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1290,4,,0,   .,75116,1
839,15456,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1000,3,1960,0,3,93061,0
840,433,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,930,1,,0,   .,12119,0
841,5630,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1200,3,1960,0,   .,92004,0
842,16064,2013,"0,167123288",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,300,2,1950,0.3,2,77487,0
843,8566,2013,0,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1900,4,,0,   .,6004,0
844,4265,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,710,2,1989,0,2,66037,0
845,11475,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,400,2,1960,0,   .,13202,0
846,3090,2013,"0,671232877",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,370,2,1960,0,   .,62826,0
847,2452,2013,"0,243835616",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3000,4,1980,0,   .,6088,1
848,12267,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,149,2,1960,0,   .,44109,0
849,10583,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,744,1,1988,0,   .,73054,0
850,6183,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650,1,1980,0,   .,5110,0
851,308,2015,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1368,2,,0,   .,13001,0
852,15181,2015,"0,983561644",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,747,1,1920,0.3,4,61169,0
853,12699,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,363,2,1960,0,   .,34172,0
854,10328,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750,2,1960,0,   .,13204,0
855,13775,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2680,2,1988,0,   .,83061,1
856,11867,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,3,1960,0,   .,92004,0
857,7527,2013,"0,249315068",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,380,1,1960,0,   .,37261,0
